sample.id	age_day	stage	pig_id	wean_day	litter	treatment	treat_type	sex	seq_region	platform	country	study	SRA	paper	Run
20	fi21w21id46con3	3	suckling	fi21id46	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705758
21	fi21w21id46con7	7	suckling	fi21id46	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705761
22	fi21w21id46con35	35	weaning	fi21id46	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705653
23	fi21w21id46con49	49	weaning	fi21id46	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705654
24	fi21w21id47con3	3	suckling	fi21id47	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705658
25	fi21w21id54con3	3	suckling	fi21id54	21	fi21_5	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705571
26	fi21w21id54con14	14	suckling	fi21id54	21	fi21_5	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705569
27	fi21w21id55con3	3	suckling	fi21id55	21	fi21_5	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705645
28	fi21w21id55con14	14	suckling	fi21id55	21	fi21_5	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705643
29	fi21w21id55con35	35	weaning	fi21id55	21	fi21_5	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705648
30	fi21w21id56con3	3	suckling	fi21id56	21	fi21_5	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705651
31	fi21w21id56con7	7	suckling	fi21id56	21	fi21_5	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705605
32	fi21w21id56con49	49	weaning	fi21id56	21	fi21_5	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705608
33	fi21w21id65con3	3	suckling	fi21id65	21	fi21_6	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705602
34	fi21w21id65con7	7	suckling	fi21id65	21	fi21_6	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705621
35	fi21w21id65con14	14	suckling	fi21id65	21	fi21_6	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705668
36	fi21w21id65con35	35	weaning	fi21id65	21	fi21_6	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705627
37	fi21w21id66con3	3	suckling	fi21id66	21	fi21_6	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705623
38	fi21w21id66con14	14	suckling	fi21id66	21	fi21_6	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705622
39	fi21w21id66con49	49	weaning	fi21id66	21	fi21_6	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705629
40	fi21w21id67con3	3	suckling	fi21id67	21	fi21_6	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705768
41	fi21w21id67con14	14	suckling	fi21id67	21	fi21_6	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705769
42	fi21w21id67con35	35	weaning	fi21id67	21	fi21_6	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705771
43	fi21w21id67con49	49	weaning	fi21id67	21	fi21_6	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705770
44	fi21w21id75con3	3	suckling	fi21id75	21	fi21_7	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705544
45	fi21w21id75con7	7	suckling	fi21id75	21	fi21_7	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705541
46	fi21w21id75con14	14	suckling	fi21id75	21	fi21_7	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705546
47	fi21w21id76con3	3	suckling	fi21id76	21	fi21_7	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705749
48	fi21w21id76con35	35	weaning	fi21id76	21	fi21_7	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705750
49	fi21w21id76con49	49	weaning	fi21id76	21	fi21_7	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705751
50	fi21w21id77con3	3	suckling	fi21id77	21	fi21_7	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705755
51	fi21w21id77con21	21	suckling	fi21id77	21	fi21_7	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705754
52	fi21w21id77con35	35	weaning	fi21id77	21	fi21_7	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705756
53	fi21w21id77con49	49	weaning	fi21id77	21	fi21_7	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705757
54	fi21w21id83con3	3	suckling	fi21id83	21	fi21_8	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705713
55	fi21w21id83con35	35	weaning	fi21id83	21	fi21_8	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705712
56	fi21w21id84con3	3	suckling	fi21id84	21	fi21_8	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705744
57	fi21w21id84con7	7	suckling	fi21id84	21	fi21_8	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705739
58	fi21w21id85con3	3	suckling	fi21id85	21	fi21_8	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705738
59	fi21w21id85con14	14	suckling	fi21id85	21	fi21_8	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705740
60	micro19w21id4e2con21	21	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871267
61	micro19w21id6e2con21	21	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871179
62	micro19w21id12e2con21	21	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871005
63	micro19w21id13e2con22	22	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870857
64	micro19w21id14e2con22	22	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870854
65	micro19w21id15e2con22	22	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870922
66	micro19w21id16e2con22	22	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870921
67	micro19w21id17e2con22	22	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870918
68	micro19w21id18e2con22	22	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870926
69	micro19w21id19e2con22	22	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870927
70	micro19w21id20e2con22	22	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871047
71	micro19w21id21e2con22	22	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871048
72	micro19w21id22e2con22	22	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871043
73	micro19w21id23e2con22	22	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871042
74	micro19w21id24e2con23	23	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871051
75	micro19w21id25e2con23	23	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870864
76	micro19w21id26e2con23	23	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871148
77	micro19w21id27e2con23	23	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871143
78	micro19w21id28e2con23	23	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871144
79	micro19w21id29e2con23	23	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871184
80	micro19w21id30e2con23	23	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871302
81	micro19w21id31e2con23	23	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871163
82	micro19w21id32e2con23	23	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871306
83	micro19w21id33e2con23	23	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871305
84	micro19w21id34e2con23	23	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871304
85	micro19w21id35e2con23	23	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870973
86	micro19w21id36e2con29	29	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871262
87	micro19w21id37e2con29	29	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871270
88	micro19w21id38e2con29	29	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870894
89	micro19w21id39e2con29	29	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871018
90	micro19w21id40e2con29	29	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871264
91	micro19w21id41e2con29	29	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870957
92	micro19w21id42e2con29	29	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871161
93	micro19w21id43e2con29	29	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871182
94	micro19w21id44e2con29	29	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870953
95	micro19w21id45e2con29	29	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871189
96	micro19w21id46e2con29	29	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871096
97	micro19w21id47e2con29	29	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870895
98	micro19w21id49e2con42	42	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870890
99	micro19w21id51e2con42	42	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870889
100	micro19w21id54e2con42	42	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870998
101	micro19w21id56e2con42	42	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871160
102	micro19w21id58e2con42	42	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871024
103	micro19w21id60e2con61	61	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871066
104	micro19w21id61e2con61	61	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871166
105	micro19w21id62e2con61	61	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871062
106	micro19w21id63e2con61	61	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871063
107	micro19w21id64e2con61	61	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871065
108	micro19w21id65e2con61	61	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871067
109	micro19w21id66e2con61	61	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870846
110	micro19w21id67e2con61	61	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870946
111	micro19w21id68e2con61	61	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871084
112	micro19w21id69e2con61	61	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871254
113	micro19w21id70e2con61	61	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871068
114	micro19w21id71e2con61	61	weaning	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871071
115	micro19w21id72e2con84	84	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871058
116	micro19w21id73e2con84	84	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870931
117	micro19w21id74e2con84	84	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871314
118	micro19w21id75e2con84	84	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871091
119	micro19w21id76e2con84	84	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870937
120	micro19w21id77e2con84	84	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870983
121	micro19w21id78e2con84	84	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871312
122	micro19w21id79e2con84	84	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870869
123	micro19w21id80e2con84	84	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871316
124	micro19w21id81e2con84	84	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870936
125	micro19w21id82e2con99	99	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871128
126	micro19w21id83e2con99	99	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871129
127	micro19w21id84e2con99	99	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870979
128	micro19w21id85e2con99	99	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871219
129	micro19w21id86e2con99	99	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870872
130	micro19w21id87e2con99	99	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871222
131	micro19w21id88e2con99	99	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870971
132	micro19w21id89e2con99	99	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870977
133	micro19w21id90e2con99	99	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871145
134	micro19w21id91e2con99	99	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870868
135	micro19w21id92e2con99	99	growing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870976
136	micro19w21id93e2con138	138	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871226
137	micro19w21id94e2con138	138	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870991
138	micro19w21id95e2con138	138	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871031
139	micro19w21id96e2con138	138	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871225
140	micro19w21id97e2con138	138	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871030
141	micro19w21id98e2con138	138	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870985
142	micro19w21id99e2con138	138	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871035
143	micro19w21id100e2con138	138	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871083
144	micro19w21id101e2con138	138	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870876
145	micro19w21id102e2con138	138	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870987
146	micro19w21id103e2con159	159	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871295
147	micro19w21id104e2con159	159	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871034
148	micro19w21id105e2con159	159	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870992
149	micro19w21id106e2con159	159	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871294
150	micro19w21id107e2con159	159	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871112
151	micro19w21id108e2con159	159	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871202
152	micro19w21id109e2con159	159	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870969
153	micro19w21id110e2con159	159	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871196
154	micro19w21id111e2con159	159	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871274
155	micro19w21id112e2con159	159	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870873
156	micro19w21id113e2con159	159	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871197
157	micro19w21id114e2con183	183	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871279
158	micro19w21id115e2con183	183	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870908
159	micro19w21id116e2con183	183	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8870964
160	micro19w21id117e2con183	183	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871296
161	micro19w21id118e2con183	183	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871113
162	micro19w21id119e2con183	183	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871115
163	micro19w21id120e2con183	183	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871209
164	micro19w21id121e2con183	183	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871213
165	micro19w21id122e2con183	183	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871211
166	micro19w21id123e2con183	183	finishing	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019b	SRR8871273
167	micro19w21id247e1con11	11	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8870847
168	micro19w21id248e1con11	11	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8870835
169	micro19w21id249e1con11	11	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8870832
170	micro19w21id250e1con11	11	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8870829
171	micro19w21id251e1con11	11	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8870951
172	micro19w21id254e1con11	11	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8870834
173	micro19w21id255e1con11	11	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8871242
174	micro19w21id256e1con11	11	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8870825
175	micro19w21id258e1con11	11	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8871139
176	micro19w21id259e1con11	11	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8870833
177	micro19w21id260e1con11	11	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8870950
178	micro19w21id261e1con11	11	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8870948
179	micro19w21id262e1con11	11	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8870958
180	micro19w21id263e1con11	11	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8871321
181	micro19w21id264e1con11	11	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8870956
182	micro19w21id265e1con20	20	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8871099
183	micro19w21id266e1con20	20	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8871266
184	micro19w21id267e1con20	20	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8871181
185	micro19w21id268e1con20	20	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8871020
186	micro19w21id269e1con20	20	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8870892
187	micro19w21id270e1con20	20	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8870952
188	micro19w21id271e1con20	20	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8871149
189	micro19w21id272e1con20	20	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8870828
190	micro19w21id273e1con20	20	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8870900
191	micro19w21id274e1con20	20	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8871177
192	micro19w21id275e1con20	20	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8871201
193	micro19w21id276e1con20	20	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8871016
194	micro19w21id277e1con20	20	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8871187
195	micro19w21id278e1con20	20	suckling	na	21	na	control	con	na	V4	MiSeq	USA	micro19	SRP191572	Wang 2019a	SRR8871271
