sample-id	age_day	stage	pig_id	wean_day	litter	treatment	treat_type	sex	seq_region	platform	country	study	SRA	paper	Run
fi21w21id61amc49	49	weaning	fi21id61	21	fi21_6	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705609
fi21w21id62amc7	7	suckling	fi21id62	21	fi21_6	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705615
fi21w21id63amc3	3	suckling	fi21id63	21	fi21_6	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705662
fi21w21id63amc7	7	suckling	fi21id63	21	fi21_6	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705659
fi21w21id63amc14	14	suckling	fi21id63	21	fi21_6	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705616
fi21w21id63amc35	35	weaning	fi21id63	21	fi21_6	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705661
fi21w21id63amc49	49	weaning	fi21id63	21	fi21_6	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705660
fi21w21id64amc3	3	suckling	fi21id64	21	fi21_6	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705665
fi21w21id64amc7	7	suckling	fi21id64	21	fi21_6	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705669
fi21w21id64amc14	14	suckling	fi21id64	21	fi21_6	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705666
fi21w21id64amc35	35	weaning	fi21id64	21	fi21_6	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705664
fi21w21id64amc49	49	weaning	fi21id64	21	fi21_6	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705663
fi21w21id71amc3	3	suckling	fi21id71	21	fi21_7	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705766
fi21w21id71amc7	7	suckling	fi21id71	21	fi21_7	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705735
fi21w21id71amc14	14	suckling	fi21id71	21	fi21_7	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705764
fi21w21id71amc21	21	suckling	fi21id71	21	fi21_7	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705767
fi21w21id71amc35	35	weaning	fi21id71	21	fi21_7	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705763
fi21w21id71amc49	49	weaning	fi21id71	21	fi21_7	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705762
fi21w21id72amc3	3	suckling	fi21id72	21	fi21_7	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705734
fi21w21id72amc7	7	suckling	fi21id72	21	fi21_7	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705729
fi21w21id72amc14	14	suckling	fi21id72	21	fi21_7	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705736
fi21w21id72amc21	21	suckling	fi21id72	21	fi21_7	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705733
fi21w21id72amc35	35	weaning	fi21id72	21	fi21_7	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705731
fi21w21id72amc49	49	weaning	fi21id72	21	fi21_7	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705732
fi21w21id73amc3	3	suckling	fi21id73	21	fi21_7	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705728
fi21w21id73amc7	7	suckling	fi21id73	21	fi21_7	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705548
fi21w21id73amc14	14	suckling	fi21id73	21	fi21_7	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705730
fi21w21id73amc21	21	suckling	fi21id73	21	fi21_7	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705727
fi21w21id73amc49	49	weaning	fi21id73	21	fi21_7	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705549
fi21w21id74amc35	35	weaning	fi21id74	21	fi21_7	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705547
fi21w21id81amc3	3	suckling	fi21id81	21	fi21_8	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705694
fi21w21id81amc7	7	suckling	fi21id81	21	fi21_8	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705689
fi21w21id81amc14	14	suckling	fi21id81	21	fi21_8	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705692
fi21w21id81amc21	21	suckling	fi21id81	21	fi21_8	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705693
fi21w21id81amc35	35	weaning	fi21id81	21	fi21_8	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705687
fi21w21id81amc49	49	weaning	fi21id81	21	fi21_8	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705688
fi21w21id82amc3	3	suckling	fi21id82	21	fi21_8	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705685
fi21w21id82amc7	7	suckling	fi21id82	21	fi21_8	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705708
fi21w21id82amc14	14	suckling	fi21id82	21	fi21_8	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705690
fi21w21id82amc21	21	suckling	fi21id82	21	fi21_8	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705684
fi21w21id82amc35	35	weaning	fi21id82	21	fi21_8	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705710
fi21w21id82amc49	49	weaning	fi21id82	21	fi21_8	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705709
fi21w21id24con3	3	suckling	fi21id24	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705641
fi21w21id24con7	7	suckling	fi21id24	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705680
fi21w21id24con14	14	suckling	fi21id24	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705639
fi21w21id24con21	21	suckling	fi21id24	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705640
fi21w21id24con35	35	weaning	fi21id24	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705678
fi21w21id24con49	49	weaning	fi21id24	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705677
fi21w21id25con3	3	suckling	fi21id25	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705674
fi21w21id25con14	14	suckling	fi21id25	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705679
fi21w21id25con35	35	weaning	fi21id25	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705673
fi21w21id25con49	49	weaning	fi21id25	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705676
fi21w21id26con3	3	suckling	fi21id26	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705672
fi21w21id26con7	7	suckling	fi21id26	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705704
fi21w21id26con21	21	suckling	fi21id26	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705675
fi21w21id26con35	35	weaning	fi21id26	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705671
fi21w21id26con49	49	weaning	fi21id26	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705703
fi21w21id33con7	7	suckling	fi21id33	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705722
fi21w21id34con3	3	suckling	fi21id34	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705715
fi21w21id34con7	7	suckling	fi21id34	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705667
fi21w21id34con14	14	suckling	fi21id34	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705721
fi21w21id34con21	21	suckling	fi21id34	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705716
fi21w21id34con35	35	weaning	fi21id34	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705655
fi21w21id34con49	49	weaning	fi21id34	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705745
fi21w21id35con3	3	suckling	fi21id35	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705642
fi21w21id35con7	7	suckling	fi21id35	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705681
fi21w21id35con14	14	suckling	fi21id35	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705670
fi21w21id35con21	21	suckling	fi21id35	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705682
fi21w21id35con35	35	weaning	fi21id35	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705760
fi21w21id36con3	3	suckling	fi21id36	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705550
fi21w21id36con7	7	suckling	fi21id36	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705555
fi21w21id36con14	14	suckling	fi21id36	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705683
fi21w21id36con21	21	suckling	fi21id36	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705551
fi21w21id36con35	35	weaning	fi21id36	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705553
fi21w21id37con49	49	weaning	fi21id37	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705759
fi21w21id36con49	49	weaning	fi21id36	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705552
fi21w21id45con3	3	suckling	fi21id45	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705584
fi21w21id45con7	7	suckling	fi21id45	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705573
fi21w21id45con14	14	suckling	fi21id45	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705617
fi21w21id45con21	21	suckling	fi21id45	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705585
fi21w21id45con35	35	weaning	fi21id45	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705614
fi21w21id45con49	49	weaning	fi21id45	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705613
fi21w21id46con3	3	suckling	fi21id46	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705758
fi21w21id46con7	7	suckling	fi21id46	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705761
fi21w21id46con14	14	suckling	fi21id46	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705572
fi21w21id46con21	21	suckling	fi21id46	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705601
fi21w21id46con35	35	weaning	fi21id46	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705653
fi21w21id46con49	49	weaning	fi21id46	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705654
fi21w21id47con3	3	suckling	fi21id47	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705658
fi21w21id47con14	14	suckling	fi21id47	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705656
fi21w21id47con21	21	suckling	fi21id47	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705657
fi21w21id47con35	35	weaning	fi21id47	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705725
fi21w21id54con3	3	suckling	fi21id54	21	fi21_5	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705571
fi21w21id54con7	7	suckling	fi21id54	21	fi21_5	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705644
fi21w21id54con14	14	suckling	fi21id54	21	fi21_5	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705569
fi21w21id54con21	21	suckling	fi21id54	21	fi21_5	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705570
fi21w21id54con35	35	weaning	fi21id54	21	fi21_5	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705562
fi21w21id54con49	49	weaning	fi21id54	21	fi21_5	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705563
fi21w21id55con3	3	suckling	fi21id55	21	fi21_5	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705645
fi21w21id55con7	7	suckling	fi21id55	21	fi21_5	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705650
fi21w21id55con14	14	suckling	fi21id55	21	fi21_5	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705643
